Timestamp,Raw Data
2026-02-21 11:34:54.203,+02.519149
2026-02-21 11:34:55.002,+02.519152
2026-02-21 11:34:55.802,+02.519152
2026-02-21 11:34:56.601,+02.519152
2026-02-21 11:34:57.400,+02.519158
2026-02-21 11:34:58.200,+02.519158
2026-02-21 11:34:59.000,+02.519158
2026-02-21 11:34:59.799,+02.519152
2026-02-21 11:35:00.599,+02.519149
2026-02-21 11:35:01.398,+02.519149
2026-02-21 11:35:02.197,+02.519152
2026-02-21 11:35:02.997,+02.519155
2026-02-21 11:35:03.797,+02.519155
2026-02-21 11:35:04.596,+02.519155
2026-02-21 11:35:05.395,+02.519149
2026-02-21 11:35:06.195,+02.519155
2026-02-21 11:35:06.995,+02.519155
2026-02-21 11:35:07.794,+02.519155
2026-02-21 11:35:08.594,+02.519152
2026-02-21 11:35:09.404,+02.519155
2026-02-21 11:35:10.203,+02.519158
2026-02-21 11:35:11.002,+02.519155
2026-02-21 11:35:11.802,+02.519158
2026-02-21 11:35:12.601,+02.519158
2026-02-21 11:35:13.401,+02.519155
2026-02-21 11:35:14.200,+02.519155
2026-02-21 11:35:15.000,+02.519161
2026-02-21 11:35:15.799,+02.519155
2026-02-21 11:35:16.599,+02.519161
2026-02-21 11:35:17.398,+02.519158
2026-02-21 11:35:18.198,+02.519158
2026-02-21 11:35:18.997,+02.519158
2026-02-21 11:35:19.797,+02.519161
2026-02-21 11:35:20.596,+02.519161
2026-02-21 11:35:21.396,+02.519155
2026-02-21 11:35:22.195,+02.519161
2026-02-21 11:35:22.995,+02.519155
2026-02-21 11:35:23.794,+02.519161
2026-02-21 11:35:24.594,+02.519161
2026-02-21 11:35:25.393,+02.519158
2026-02-21 11:35:26.203,+02.519155
2026-02-21 11:35:27.003,+02.519161
2026-02-21 11:35:27.802,+02.519152
2026-02-21 11:35:28.601,+02.519158
2026-02-21 11:35:29.401,+02.519158
2026-02-21 11:35:30.201,+02.519155
2026-02-21 11:35:30.999,+02.519155
2026-02-21 11:35:31.799,+02.519158
2026-02-21 11:35:32.599,+02.519158
2026-02-21 11:35:33.399,+02.519155
2026-02-21 11:35:34.198,+02.519149
2026-02-21 11:35:34.998,+02.519164
2026-02-21 11:35:35.797,+02.519161
2026-02-21 11:35:36.596,+02.519155
2026-02-21 11:35:37.396,+02.519155
2026-02-21 11:35:38.196,+02.519164
2026-02-21 11:35:38.995,+02.519164
2026-02-21 11:35:39.794,+02.519155
2026-02-21 11:35:40.594,+02.519158
2026-02-21 11:35:41.393,+02.519155
2026-02-21 11:35:42.193,+02.519158
2026-02-21 11:35:42.991,+02.519158
2026-02-21 11:35:43.802,+02.519158
2026-02-21 11:35:44.601,+02.519161
2026-02-21 11:35:45.401,+02.519152
2026-02-21 11:35:46.200,+02.519161
2026-02-21 11:35:47.000,+02.519152
2026-02-21 11:35:47.799,+02.519161
2026-02-21 11:35:48.599,+02.519158
2026-02-21 11:35:49.398,+02.519155
2026-02-21 11:35:50.198,+02.519149
2026-02-21 11:35:50.997,+02.519158
2026-02-21 11:35:51.797,+02.519161
2026-02-21 11:35:52.597,+02.519158
2026-02-21 11:35:53.396,+02.519161
2026-02-21 11:35:54.195,+02.519158
2026-02-21 11:35:54.994,+02.519158
2026-02-21 11:35:55.794,+02.519158
2026-02-21 11:35:56.594,+02.519158
2026-02-21 11:35:57.393,+02.519155
2026-02-21 11:35:58.192,+02.519158
2026-02-21 11:35:58.992,+02.519152
2026-02-21 11:35:59.791,+02.519158
2026-02-21 11:36:00.601,+02.519155
2026-02-21 11:36:01.401,+02.519155
2026-02-21 11:36:02.201,+02.519152
2026-02-21 11:36:03.000,+02.519158
2026-02-21 11:36:03.799,+02.519149
2026-02-21 11:36:04.599,+02.519149
2026-02-21 11:36:05.398,+02.519167
2026-02-21 11:36:06.198,+02.519158
2026-02-21 11:36:06.997,+02.519155
2026-02-21 11:36:07.797,+02.519158
2026-02-21 11:36:08.596,+02.519161
2026-02-21 11:36:09.396,+02.519155
2026-02-21 11:36:10.195,+02.519164
2026-02-21 11:36:10.995,+02.519161
2026-02-21 11:36:11.794,+02.519155
2026-02-21 11:36:12.594,+02.519155
2026-02-21 11:36:13.393,+02.519158
